text,tags
"""@firefox Hello! Firefox isn't asking to save Tabs on quit anymore, even if the corresponding command in about:config is ebabled.
What should I do? https://t.co/uRkUqLNdOM""","EN,Help Me"
"""@MkllSUMO @firefox I'll try. Any way to backup abou:config preferences?

And off-topic question: is there a way to have a confirm/warning button when choosing ""Forget this site"" in browser history?""","EN,Help Me"
"""@MkllSUMO @firefox No worries! The Refresh didn't help, but now I have discovered that ""browser.ShowQuitWarning"" doesn't exist anymore in FF 63.

Do I really have to manually restore the previous session now? Why did this change? :(
""Save and quit"" was sooo useful""","EN,Help Me"
"""@MkllSUMO @firefox Eh, I'd rather have the old about:config setting back.

There's dozens of us - please consider rolling back the change: https://t.co/WELShmkCa3

Thank you again for your help!""","EN,Help Me"
"""@UPSHelp_CA on your sign up page, the password field doesn't allow you to paste a password in (@firefox 63.0.1), it's also completely broken using @LastPassHelp""","EN,Help Me"
"""@googlechrome @Microsoft @firefox_es @firefox @w3c @W3Ces

When you will implement the CSS parent selector?? 

:parent or :has()

I listen about this since 2009... I think it's time. A litle slow isn't it? https://t.co/IGVNUITxnR""","EN,slow,Help Me,No Action Taken,Not Fan Luv"
"""@firefox Hey ! I m having problems with Youtube on windows7 sp1 (sorry but i dont like W10) I cant change resolution when watching videos and even right click is malfunctionning sometimes. Firefox Version 63.0.1 64 bits, cpu i7 4790k, GPU r9 290x, Are you still supporting w7?""","EN,Help Me,Video"
"""@jdavidvr @YouTube @firefox @opera It was uploading at the time you were trying. Try now""","EN,Help Me"
"""@ilumium @brave Yes. Still on @firefox though. When @brave gets sync (mobile&lt;&gt;desktop) I'll reevaluate.""","Sync,EN,No Action Taken,Help Me"
"""@ilumium @brave @firefox After the transition to the Chrome frontend (current stable), sync stopped being available.""","Sync,EN,No Action Taken,Help Me"
